Comment,Designator,Footprint,LCSC Part #,,,Quantity
STM32F103RETx,U2,LQFP-64_10x10mm_P0.5mm,C8322 ,,,1
Crystal,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962 ,Ex,,1
4K7,"R22,R21,R18,R12",R_1206_3216Metric,C17936,,,4
100,"R17,R11",R_1206_3216Metric,C17901 ,,,2
10K,R3,R_1206_3216Metric,C17902 ,,,1
1K,R2,R_1206_3216Metric,C4410 ,,  ,1
SE30150,"Q3,Q1",TO-263-3_TabPin2,C238628,,Kein pnp,2
PMV40UN2,Q2,SOT-23,C179442 ,Ex,0 auf Lager,1
1N5819,"D11,D8,D2",D_SOD-123,C117948 ,,,3
100uF,"C26,C24,C22,C20",CP_Elec_6.3x7.7,C176675 ,Ex,,4
100nF,"C18,C13,C10,C9,C8,C7,C6,C1",C_1206_3216Metric,C24497 ,,,8
20pF,"C17,C14",C_0603_1608Metric,C1648 ,,,2
10uF,"C16,C15,C11,C19",C_1206_3216Metric,C13585 ,,,4
1uF,"C12,C3,C4",C_0805_2012Metric,C28323 ,,,3
4.7uF,C2,C_1206_3216Metric,C29823 ,,,1
33pF,C5,C_0603_1608Metric,C1663 ,,,1
B140-13-F,D1,D_SMA,C15759 ,Ex,,1
4.7uH,L1,L_1812_4532Metric,C150538,Ex,,1
124K,"R1,R4",R_1206_3216Metric,C247387 ,Ex,,2
MP2451,U1,SOT-23-6,C14123 ,,,1
RT9013-33GB,U3,SOT-23-5,C47773,Ex,,1
100K,R5,R_1206_3216Metric,C17900 ,, ,1
