Designator,Mid X,Mid Y,Layer,Rotation
C1,40.487600,-60.350400,top,90.000000
C2,35.915600,-66.040000,top,270.000000
C3,55.880000,-64.820800,top,270.000000
C4,63.347600,-66.751200,top,270.000000
C5,36.830000,-55.016400,top,270.000000
C6,87.122000,-90.982800,top,90.000000
C7,73.631600,-84.429600,top,0.000000
C8,73.710800,-87.020400,top,0.000000
C9,87.325200,-70.713600,top,270.000000
C10,80.010000,-70.561200,top,270.000000
C11,93.522800,-76.200000,top,0.000000
C12,93.065600,-73.710800,top,0.000000
C13,93.726000,-79.806800,top,0.000000
C14,99.060000,-86.868000,top,180.000000
C15,72.390000,-104.140000,top,90.000000
C16,78.740000,-104.140000,top,90.000000
C17,99.060000,-85.242400,top,180.000000
C18,59.690000,-86.995000,top,0.000000
C19,45.872400,-66.090800,top,180.000000
C20,55.245000,-38.100000,top,270.000000
C22,71.120000,-38.100000,top,270.000000
C24,86.995000,-38.260000,top,270.000000
C26,102.870000,-38.100000,top,270.000000
D1,40.640000,-67.106800,top,270.000000
D2,39.370000,-38.100000,top,0.000000
D8,36.525200,-75.234800,top,90.000000
D11,38.658800,-104.749600,top,270.000000
L1,45.770800,-60.706000,top,180.000000
Q1,48.463200,-106.273600,top,180.000000
Q2,40.640000,-41.910000,top,90.000000
Q3,46.532800,-77.216000,top,180.000000
R1,34.340800,-54.965600,top,270.000000
R2,36.195000,-41.275000,top,180.000000
R3,44.450000,-42.545000,top,90.000000
R4,32.105600,-58.978800,top,180.000000
R5,30.480000,-64.363600,top,180.000000
R7,105.156000,-83.312000,top,0.000000
R11,58.369200,-79.400400,top,180.000000
R12,58.369200,-75.488800,top,180.000000
R17,59.690000,-108.839000,top,180.000000
R18,59.690000,-103.759000,top,180.000000
R21,74.930000,-104.140000,top,270.000000
R22,81.280000,-104.140000,top,270.000000
SW1,99.415600,-79.806800,top,0.000000
U1,37.033200,-60.706000,top,90.000000
U2,83.464400,-80.721200,top,90.000000
U3,60.198000,-64.871600,top,90.000000
Y1,95.300800,-85.648800,top,270.000000
