Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric",36.423600,-77.876400,90.000000,top
"C2","4.7uF","C_1206_3216Metric",31.851600,-83.566000,270.000000,top
"C3","1uF","C_0805_2012Metric",42.164000,-71.043800,270.000000,top
"C4","1uF","C_0805_2012Metric",49.631600,-72.974200,270.000000,top
"C5","33pF","C_0603_1608Metric",32.766000,-72.542400,270.000000,top
"C6","0.1uF","C_0805_2012Metric",89.789000,-79.692500,270.000000,top
"C7","0.1uF","C_0805_2012Metric",83.439000,-81.026000,90.000000,top
"C8","0.1uF","C_0805_2012Metric",93.218000,-66.294000,270.000000,top
"C9","0.1uF","C_0805_2012Metric",69.088000,-73.152000,270.000000,top
"C10","0.1uF","C_0805_2012Metric",76.962000,-56.388000,180.000000,top
"C11","0.1uF","C_0805_2012Metric",94.424500,-70.739000,180.000000,top
"C12","0.1uF","C_0805_2012Metric",80.518000,-79.883000,0.000000,top
"C13","0.1uF","C_0805_2012Metric",98.907600,-78.638400,0.000000,top
"C14","12pF","C_0603_1608Metric",87.058500,-88.646000,90.000000,top
"C15","10uF","C_1206_3216Metric",111.252000,-87.185500,90.000000,top
"C16","10uF","C_1206_3216Metric",103.886000,-87.185500,90.000000,top
"C17","12pF","C_0603_1608Metric",90.551000,-88.646000,90.000000,top
"C18","100nF","C_1206_3216Metric",32.766000,-108.077000,180.000000,top
"C19","10uF","C_1206_3216Metric",41.808400,-83.616800,180.000000,top
"C20","100uF","CP_Elec_6.3x7.7",25.908000,-23.876000,270.000000,top
"C21","0.1uF","C_0805_2012Metric",69.088000,-65.786000,90.000000,top
"C22","100uF","CP_Elec_6.3x7.7",46.990000,-23.876000,270.000000,top
"C23","0.1uF","C_0805_2012Metric",85.598000,-56.388000,180.000000,top
"C24","100uF","CP_Elec_6.3x7.7",69.088000,-23.876000,270.000000,top
"C25","100nF","C_1206_3216Metric",42.164000,-32.512000,90.000000,top
"C26","100uF","CP_Elec_6.3x7.7",91.059000,-23.876000,270.000000,top
"C27","2.2uF","C_1206_3216Metric",34.671000,-40.132000,90.000000,top
"C28","22nF","C_0603_1608Metric",31.496000,-30.226000,90.000000,top
"C29","100nF","C_1206_3216Metric",33.274000,-26.924000,180.000000,top
"C30","100nF","C_1206_3216Metric",29.972000,-34.290000,270.000000,top
"C31","100nF","C_1206_3216Metric",39.878000,-26.924000,0.000000,top
"C32","22nF","C_0603_1608Metric",52.578000,-30.251500,90.000000,top
"C33","2.2uF","C_1206_3216Metric",55.880000,-40.132000,90.000000,top
"C34","100nF","C_1206_3216Metric",54.356000,-26.924000,180.000000,top
"C35","100nF","C_1206_3216Metric",63.754000,-32.515000,90.000000,top
"C36","100nF","C_1206_3216Metric",51.308000,-34.293000,270.000000,top
"C37","100nF","C_1206_3216Metric",61.341000,-26.924000,0.000000,top
"C38","22nF","C_0603_1608Metric",74.803000,-30.607000,90.000000,top
"C39","2.2uF","C_1206_3216Metric",78.486000,-40.132000,90.000000,top
"C40","100nF","C_1206_3216Metric",77.216000,-26.924000,180.000000,top
"C41","100nF","C_1206_3216Metric",86.233000,-32.512000,90.000000,top
"C42","100nF","C_1206_3216Metric",84.074000,-26.797000,0.000000,top
"C43","100nF","C_1206_3216Metric",74.041000,-35.052000,270.000000,top
"C44","22nF","C_0603_1608Metric",96.012000,-30.607000,90.000000,top
"C45","2.2uF","C_1206_3216Metric",99.949000,-40.132000,90.000000,top
"C46","100nF","C_1206_3216Metric",98.425000,-26.797000,180.000000,top
"C47","100nF","C_1206_3216Metric",108.077000,-32.639000,90.000000,top
"C48","100nF","C_1206_3216Metric",95.250000,-35.052000,270.000000,top
"C49","100nF","C_1206_3216Metric",105.791000,-26.797000,0.000000,top
"C50","22nF","C_0603_1608Metric",117.983000,-30.670500,90.000000,top
"C51","100nF","C_1206_3216Metric",120.142000,-26.797000,180.000000,top
"C52","100nF","C_1206_3216Metric",129.286000,-32.639000,90.000000,top
"C53","100uF","CP_Elec_6.3x7.7",112.649000,-23.876000,270.000000,top
"C54","100nF","C_1206_3216Metric",127.508000,-26.797000,0.000000,top
"C55","100nF","C_1206_3216Metric",117.284500,-35.052000,270.000000,top
"C56","2.2uF","C_1206_3216Metric",121.666000,-40.132000,90.000000,top
"C57","12pF","C_0603_1608Metric",111.950500,-70.167500,270.000000,top
"C58","12pF","C_0603_1608Metric",112.776000,-73.469500,180.000000,top
"C59","10uF","C_1206_3216Metric",118.491000,-87.185500,90.000000,top
"D1","B140-13-F","D_SMA",36.576000,-84.632800,270.000000,top
"D2","1N5819","D_SOD-123",127.635000,-72.326500,270.000000,top
"D3","1N5819","D_SOD-123",118.173500,-101.219000,0.000000,top
"D8","1N5819","D_SOD-123",97.853500,-102.743000,0.000000,top
"D11","1N5819","D_SOD-123",57.404000,-101.346000,0.000000,top
"J32","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",32.893000,-58.928000,270.000000,top
"L1","4.7uH","L_1812_4532Metric",41.706800,-78.232000,180.000000,top
"L2","22uH","L_0805_2012Metric",80.518000,-82.042000,0.000000,top
"Q1","SE30150","TO-263-3_TabPin2",75.184000,-105.791000,180.000000,top
"Q2","PMV40UN2","SOT-23",123.952000,-73.977500,0.000000,top
"Q3","SE30150","TO-263-3_TabPin2",108.712000,-104.140000,270.000000,top
"Q4","SE30150","TO-263-3_TabPin2",127.063500,-93.853000,270.000000,top
"Q5","IRLML2244","SOT-23",100.330000,-65.024000,90.000000,top
"R1","124K","R_1206_3216Metric",30.276800,-72.491600,270.000000,top
"R2","1K","R_1206_3216Metric",121.602500,-69.532500,0.000000,top
"R3","10K","R_1206_3216Metric",119.380000,-76.390500,0.000000,top
"R4","23K7","R_1206_3216Metric",28.041600,-76.504800,180.000000,top
"R5","100K","R_1206_3216Metric",26.416000,-81.889600,180.000000,top
"R6","1K","R_1206_3216Metric",38.608000,-40.132000,90.000000,top
"R7","10K","R_1206_3216Metric",94.996000,-76.301600,0.000000,top
"R8","0R11","R_1206_3216Metric",40.386000,-23.876000,180.000000,top
"R9","0R11","R_1206_3216Metric",32.766000,-23.876000,0.000000,top
"R10","0R11","R_1206_3216Metric",61.849000,-23.876000,180.000000,top
"R11","100","R_1206_3216Metric",109.664500,-94.170500,0.000000,top
"R12","4K7","R_1206_3216Metric",101.219000,-95.440500,270.000000,top
"R13","0R11","R_1206_3216Metric",54.102000,-23.876000,0.000000,top
"R14","1K","R_1206_3216Metric",59.944000,-40.132000,90.000000,top
"R15","0R11","R_1206_3216Metric",84.201000,-23.876000,180.000000,top
"R16","0R11","R_1206_3216Metric",76.708000,-23.876000,0.000000,top
"R17","100","R_1206_3216Metric",86.614000,-108.204000,180.000000,top
"R18","4K7","R_1206_3216Metric",86.741000,-104.394000,180.000000,top
"R19","1K","R_1206_3216Metric",90.233500,-56.007000,90.000000,top
"R20","0R11","R_1206_3216Metric",105.791000,-23.876000,180.000000,top
"R21","4K7","R_1206_3216Metric",111.188500,-82.232500,270.000000,top
"R22","4K7","R_1206_3216Metric",103.886000,-82.232500,270.000000,top
"R23","0R11","R_1206_3216Metric",98.171000,-23.876000,0.000000,top
"R24","1K","R_1206_3216Metric",97.409000,-59.118500,270.000000,top
"R25","0R11","R_1206_3216Metric",127.635000,-23.876000,180.000000,top
"R26","0R11","R_1206_3216Metric",119.888000,-23.876000,0.000000,top
"R27","1K","R_1206_3216Metric",125.730000,-51.435000,270.000000,top
"R28","10K","R_1206_3216Metric",45.720000,-60.579000,90.000000,top
"R29","10K","R_1206_3216Metric",49.149000,-60.579000,90.000000,top
"R30","10K","R_1206_3216Metric",49.149000,-55.499000,90.000000,top
"R31","10K","R_1206_3216Metric",45.720000,-55.499000,90.000000,top
"R32","1K5","R_1206_3216Metric",104.140000,-68.199000,90.000000,top
"R33","33K","R_1206_3216Metric",99.060000,-73.406000,0.000000,top
"R34","33K","R_1206_3216Metric",99.060000,-70.993000,180.000000,top
"R35","100","R_1206_3216Metric",128.397000,-82.550000,0.000000,top
"R36","4K7","R_1206_3216Metric",122.745500,-82.550000,0.000000,top
"R37","4K7","R_1206_3216Metric",118.491000,-82.232500,270.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",94.589600,-80.822800,90.000000,top
"U1","MP2451","SOT-23-6",33.020000,-78.486000,270.000000,top
"U2","LPC1768FBD100","LQFP-100_14x14mm_P0.5mm",81.280000,-67.945000,90.000000,top
"U3","RT9013-33GB","SOT-23-5",46.482000,-71.094600,270.000000,top
"U4","TMC2209-LA","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",36.552000,-32.422000,0.000000,top
"U5","TMC2209-LA","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",57.904000,-32.427100,0.000000,top
"U6","TMC2209-LA","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",80.391000,-32.512000,0.000000,top
"U7","TMC2209-LA","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",101.917500,-32.512000,0.000000,top
"U8","TMC2209-LA","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias",123.698000,-32.520000,0.000000,top
"Y1","12Mhz","Crystal_SMD_5032-2Pin_5.0x3.2mm",88.773000,-84.963000,180.000000,top
